#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
50,"Hai Apna Dil To Aawara - Happy","Hemant Kumar,S. D. Burman",110,2B,47,2025-01-24,04:21,53,"bangla pop, ghazal","Solva Saal",1958-01-01,61,57,0,93,0,50,-11,F#/G♭ Major,4,0p7EstNUg5VYyD8jxs1Na7,INH109245370
51,"Ek Ajnabee Haseena Se","Kishore Kumar,R. D. Burman",97,2B,55,2025-01-24,04:26,67,"ghazal, bangla pop, hindi pop","Ajanabee",1974-09-18,33,99,51,66,0,50,-9,F#/G♭ Major,4,1mPNK9DQVA7gJNtJ20PZu3,INH109243080
52,"Mast Magan","Arijit Singh,Chinmayi,Shankar-Ehsaan-Loy,Amitabh Bhattacharya",83,9B,77,2025-01-24,04:40,72,"hindi pop, bollywood, desi, bangla pop, tamil pop, marathi pop, kollywood, tollywood, telugu pop, sufi","2 States",2014-03-14,66,61,0,88,0,10,-7,G Major,4,3uL1IBFhg52VcQqOwAG01E,INS181400606
53,"Milne Hai Mujhse Aayi (From  Aashiqui 2 )","Arijit Singh",144,10A,71,2025-01-25,04:55,66,"hindi pop, bollywood, desi, bangla pop","Arijit Singh Broken Strings",2019-04-24,52,4,0,30,0,10,-5,B Minor,4,24b9eObMccIrDSs3NvdrRd,INS181303040
54,"Nadaan Parinde","A.R. Rahman,Mohit Chauhan",133,11A,74,2025-01-25,06:24,66,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi","Rockstar",2011-10-01,51,41,0,49,0,10,-7,F#/G♭ Minor,4,6Z394Nd4gW6Ts9hmu3NUjx,INS181103508
55,"Sunn Raha Hai","Ankit Tiwari,Sandeep Nath",82,5A,64,2025-01-25,06:30,76,"bollywood, hindi pop, desi","Aashiqui 2",2013-04-06,39,28,0,34,0,10,-6,C Minor,4,5PvwPy5eRO8BPwpRzCHK3D,INS181303032
56,"Mere Mehboob Qayamat Hogi","Sanam,Laxmikant–Pyarelal",106,10A,58,2025-01-27,04:01,62,"hindi pop, desi pop, ghazal, bhajan","Mere Mehboob Qayamat Hogi - Sanam",2015-06-30,70,16,0,56,0,40,-6,B Minor,4,3MPHub8AYXBHMEqJa4yrGc,INH101500927
57,"Pal Pal Dil Ke Paas - Title Track - From  Pal Pal Dil Ke Paas ","Arijit Singh,Parampara Thakur,Sachet-Parampara,Siddharth - Garima",124,12A,51,2025-01-27,04:14,64,"hindi pop, bollywood, desi, bangla pop, bhajan, gujarati garba","Pal Pal Dil Ke Paas - Title Track (From  Pal Pal Dil Ke Paas )",2019-08-27,57,59,0,39,0,0,-7,C♯/D♭ Minor,4,3xeqwaUWpJI8j5gmCaHxt8,INZ031406006
58,"Aap Ki Nazron Ne Samjha","Sanam",93,12A,36,2025-01-27,03:06,57,"hindi pop, desi pop","Aap Ki Nazron Ne Samjha - Sanam",2014-09-30,36,82,0,48,0,10,-5,C♯/D♭ Minor,1,2Q6Eo7zJ3woi7oVUkfDt1W,INH101401652
59,"Likhe Jo Khat Tujhe","Sanam",108,5A,34,2025-01-27,03:23,53,"hindi pop, desi pop","Sanam - Likhe Jo Khat Tujhe",2020-05-04,83,56,0,71,0,10,-11,C Minor,4,5Mv7UmRWMUyQrOULQk3f39,INH102002226
60,"Humdard (From  Ek Villain )","Arijit Singh",87,7B,54,2025-01-27,04:20,67,"hindi pop, bollywood, desi, bangla pop","Ultimate Love Songs - Arijit Singh",2020-05-19,57,76,0,27,0,10,-6,F Major,4,2PvaburAUlhNHxVhw5lvOq,INS181401039
61,"Apna Bana Le","Sachin-Jigar,Arijit Singh,Amitabh Bhattacharya",94,11B,56,2025-01-27,04:21,56,"gujarati pop, bollywood, hindi pop, desi, gujarati garba, bangla pop","The Arijit Singh Collection",2023-05-26,59,80,0,44,0,0,-7,A Major,4,1UTzknFnMdtH3morV6o1hA,INZ031411736
62,"Phir Bhi Tumko Chaahunga","Mithoon,Manoj Muntashir,Arijit Singh,Shashaa Tirupati",100,3B,52,2025-01-27,05:51,70,"bollywood, hindi pop, bhajan, devotional, desi, bangla pop, tamil pop, kollywood","The Arijit Singh Collection",2023-05-26,53,88,0,27,0,10,-8,C♯/D♭ Major,4,1fcCPXmH4vUzG6UQTTjZp5,INZ031402279
63,"Chahun Main Ya Naa","Palak Muchhal,Arijit Singh,Jeet Gannguli,Irshad Kamil",107,8A,52,2025-01-29,05:04,75,"bollywood, hindi pop, gujarati garba, desi, bangla pop","Aashiqui 2",2013-04-06,64,52,0,26,0,0,-7,A Minor,4,6UgcN95w7vQxkR8sEFmwHG,INS181303033
64,"Bhula Dena","Mustafa Zahid,Jeet Gannguli,Sanjay Masoom",132,9A,51,2025-01-29,04:00,71,"bollywood, hindi pop, bangla pop, ","Aashiqui 2",2013-04-06,52,63,0,24,0,20,-7,E Minor,4,0WNCYgCd33LnBnw22WFuq8,INS181303037
65,"Likhe Jo Khat Tujhe","Mohammed Rafi",107,10A,45,2025-02-01,04:33,64,"ghazal","Kanyadaan",1968-01-01,38,89,14,74,0,30,-13,B Minor,4,0es02Rp0p0WpC4WRBDtM8P,INH109343400
66,"Main Pal Do Pal Ka Shair Hoon","Mukesh",124,12B,33,2025-02-01,03:24,56,"ghazal, tamil dance","Kabhi Kabhie",1976-01-27,56,85,0,64,0,60,-14,E Major,4,2MAQWNhW0jKI0qWnNNO8C9,INH109539840
67,"Chhu Kar Mere Manko - From  Yaarana ","Kishore Kumar",139,12B,51,2025-02-01,04:14,58,"ghazal, bangla pop, hindi pop","Yaarana (Original Motion Picture Soundtrack)",1981-01-01,36,80,0,37,0,10,-12,E Major,4,4TimJMbd97nFu5wW9DJXQ9,INP100300047
68,"Kahin Door Jab Din Dhal Jaye","Mukesh,Salil Chowdhury",91,7B,42,2025-02-01,05:37,64,"ghazal, tamil dance, bangla pop, malayalam pop","Anand",1971-05-03,52,85,0,48,0,30,-7,F Major,4,2P7i3LoqblIGiNk1Jmbc30,INH109246000
69,"Tere Sang Yaara","Atif Aslam,Manoj Muntashir",75,4B,55,2025-02-02,04:46,65,"bollywood, hindi pop, desi, sufi, qawwali, bhajan, devotional","Rustom (Original Motion Picture Soundtrack)",2016-07-15,42,65,0,55,0,10,-7,G#/A♭ Major,4,72CkpVdvmc8t28o8I9N32J,INZ031401497
70,"Bulleya","Pritam,Amit Mishra,Shilpa Rao",87,7A,77,2025-02-03,05:48,68,"bollywood, hindi pop, desi","Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition]",2016-10-26,55,50,0,70,0,10,-5,D Minor,4,0Bz7dfqPY4JOGZO3O1j8Wh,INS171602235
71,"Ae Dil Hai Mushkil Title Track","Pritam,Arijit Singh",124,2A,65,2025-02-03,04:29,73,"bollywood, hindi pop, desi, bangla pop","Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition]",2016-10-26,50,71,0,35,0,10,-7,D#/E♭ Minor,4,1UWacd8x8tPPwmrPB1MoBI,INS171602089
72,"Main Rang Sharbaton Ka","Atif Aslam,Chinmayi,Pritam",90,2B,63,2025-02-03,04:23,73,"bollywood, hindi pop, desi, sufi, qawwali, tamil pop, marathi pop, kollywood, tollywood, telugu pop","Best of Romance: Atif Aslam",2023-04-20,63,69,0,70,0,10,-7,F#/G♭ Major,4,2IEhtVeM9TVql8fZdKdlo9,INT101303505
